;#99201_Produktion;#99300_Importsaldo;#99400_Speichersaldo (Entnahme - Einspeicherung);#99401_Speicherinhalt;#99402_Speichervolumen;#99990_Statistische Differenz;#99318_Exporte;#99328_Importe;#99010_Abgabe an Endverbraucher;#99050_Eigenverbrauch und Verluste;#99422_Speicher - Einspeicherung;#99202_Einspeisung biogener Gase;#99423_Speicher - Entnahme;#99310_Exporte;#99313_Exporte;#99311_Exporte;#99314_Exporte;#99316_Exporte;#99317_Exporte;#99315_Exporte;#99312_Exporte;#99320_Importe;#99323_Importe;#99321_Importe;#99324_Importe;#99326_Importe;#99327_Importe;#99325_Importe;#99322_Importe;#99001_Inlandaufkommen;#99002_Inlandgasverbrauch;#99200_Produktion (inkl, Einsp, biog, Gase)
2010-01-01;1397045;5169569.57;7820824.0;33832487.0;51906381.6;103126.694;111560.565;;14003524.74;281307.986;216572.0;520.85;8037396.0;31401760.436;3027858.871;0.0;21680921.0;2092868.0;4488552.0;0.0;0;36571330.006;2576338.643;0.0;;;;33953021.0;41970.363;9218389.85;14387959.42;1397565.85
2010-02-01;1372061;2727026.178;8030608.0;25801879.0;51906381.6;72252.429;90801.349;;11790854.497;266941.592;81797.0;353.34;8112405.0;27970457.349;2485748.0;0.0;19414716.0;1903870.0;4075322.0;0.0;0;30697483.527;2168949.255;0.0;;;;28513161.0;15373.272;9403022.34;12130048.518;1372414.34
2010-03-01;1547057;5704695.569;3247829.0;22554050.0;51906381.6;152133.576;81114.718;;10185885.029;162683.091;1696994.0;1120.127;4944823.0;24778009.718;3310759.0;0.0;15013398.0;1977276.0;4395462.0;0.0;0;30482705.287;4233960.555;0.0;;;;26193984.0;54760.732;4796006.127;10500701.696;1548177.127
2010-04-01;1463714;9122420.825;-2808160.0;25362210.0;51906381.6;85308.784;53396.0;;7638084.351;56094.549;4025172.0;1512.859;1217012.0;21287188.436;3353527.436;0.0;12157364.0;1590654.0;4132247.0;0.0;0;30409609.261;5620171.187;0.0;;;;24743502.0;45936.074;-1342933.141;7779487.684;1465226.859
2010-05-01;1493929;8475791.862;-3994285.0;29356495.0;51906381.6;45280.665;45258.08;;5890747.11;40519.555;4580290.0;1111.468;586005.0;21703497.08;2327196.0;0.0;13230963.0;1579677.0;3940037.0;580366.0;0;30179288.942;6674050.486;0.0;;;;23450416.0;54822.456;-2499244.532;5976547.33;1495040.468
2010-06-01;1464054;8281295.813;-4763692.0;34120187.0;51906381.6;35766.394;32529.999;;4833929.084;112388.545;5099168.0;426.21;335476.0;19777716.999;1552698.0;0.0;12336337.0;1641320.0;3742522.0;472310.0;0;28059012.812;6032330.622;0.0;;;;21973609.0;53073.19;-3299211.79;4982084.023;1464480.21
2010-07-01;1532118;7239398.069;-4058948.0;38179135.0;51906381.6;13715.47;24778.667;;4578334.926;121201.043;4375864.0;683.37;316916.0;20259225.667;863855.0;0.0;13470889.0;939919.0;3949984.0;1009800.0;0;27498623.736;5832840.055;0.0;;;;21622998.0;42785.681;-2526146.63;4713251.439;1532801.37
2010-08-01;1688684;6189453.171;-3347428.0;41526563.0;51906381.6;58956.843;27648.925;;4249002.599;223520.319;3732901.0;770.59;385473.0;21572714.173;706981.248;0.0;15676345.0;777148.0;3781787.0;602804.0;0;27762167.344;5741979.808;0.0;;;;21964482.0;55705.536;-1657973.41;4531479.761;1689454.59
2010-09-01;1436752;6385920.124;-1690397.0;43216960.0;51906381.6;108530.739;36629.278;;5793973.109;230433.656;2420732.0;662.38;730335.0;28665255.589;609171.311;0.0;23367257.0;919186.0;3482447.0;250565.0;0;35051175.713;5443429.52;0.0;;;;29553607.0;54139.193;-252982.62;6132937.504;1437414.38
2010-10-01;1582903;6522045.308;1791099.0;41425861.0;51906381.6;40572.71;56564.906;;9384918.433;471210.286;2072314.0;654.12;3863413.0;38423219.775;3119711.869;0.0;29195898.0;1709502.0;4036126.0;305417.0;0;44945265.083;7423131.016;0.0;;;;37466135.0;55999.067;3374656.12;9896701.428;1583557.12
2010-11-01;1538291;7864720.767;1041059.0;40384802.0;51906381.6;-2200.884;72465.437;;10064379.372;382588.429;1789237.0;696.15;2830296.0;38858958.914;2636237.477;0.0;29923718.0;1752767.0;4473771.0;0.0;0;46723679.681;6707300.3;0.0;;;;39962310.0;54069.381;2580046.15;10444766.917;1538987.15
2010-12-01;1537276;6134818.469;6620624.0;33764178.0;51906381.6;89452.13;98198.96;;13679529.764;524341.936;296877.0;605.36;6917501.0;42278649.067;2816331.107;0.0;32752817.0;2009746.0;4601556.0;0.0;0;48413467.536;3915231.831;0.0;;;;44442285.0;55950.705;8158505.36;14293323.829;1537881.36
2011-01-01;1577936;7289257.614;4479327.0;29284851.0;51906381.6;153542.306;94566.196;;12842397.26;353985.823;359997.0;3404.775;4839324.0;38421575.11;2597069.914;0.0;29370788.0;1709487.0;4649664.0;0.0;0;45710832.724;5569821.289;0.0;;;;40085881.0;55130.435;6060667.775;13349925.389;1581340.775
2011-02-01;1528274;5792570.725;4731728.0;24553123.0;51906381.6;90396.837;76618.248;;11555373.448;410120.48;485830.0;3318.04;5217558.0;34215570.248;2332622.0;0.0;25997571.0;1763210.0;4045549.0;0.0;0;40008140.973;5515281.147;0.0;;;;34442414.0;50445.826;6263320.04;12055890.765;1531592.04
2011-03-01;1572974;9346789.33;63775.0;24489348.0;51906381.6;109379.547;59490.617;;10515072.455;362640.018;1765325.0;3553.69;1829100.0;30977082.467;2262371.85;0.0;22286165.0;1696501.0;4672554.0;0.0;0;40323871.797;6386167.838;0.0;;;;33881950.0;55753.959;1640302.69;10987092.02;1576527.69
2011-04-01;1489721;14918386.462;-9465579.0;33954927.0;83378256.6;12606.384;38923.47;;6591168.943;342680.045;10117208.0;3926.91;651629.0;35460973.47;2749284.0;0.0;27494251.0;1063506.0;4033571.0;81438.0;0;50379359.932;8208207.482;0.0;;;;42117695.0;53457.45;-7971931.09;6946455.372;1493647.91
2011-05-01;1042660;13372384.968;-7931829.0;41886756.0;83378256.6;71580.306;33103.536;;6075440.535;338408.517;8151111.0;2213.39;219282.0;33766754.536;2946940.0;0.0;24835489.0;1089374.0;3849280.0;1012568.0;0;47139139.504;8622597.828;0.0;;;;38460640.0;55901.676;-6886955.61;6485429.358;1044873.39
2011-06-01;1396345;13346695.575;-10171306.0;52058062.0;83378256.6;85089.816;27039.796;;4285170.051;202975.848;10383620.0;1501.14;212314.0;24025761.716;3456687.92;0.0;15126339.0;1012777.0;3498502.0;904416.0;0;37372457.291;9243317.07;0.0;;;;28075043.0;54097.221;-8773459.86;4573235.715;1397846.14
2011-07-01;1529347;11088820.024;-8137236.0;60195298.0;83378256.6;79162.599;26209.617;;4289457.898;115385.826;8402536.0;3075.3;265300.0;25294594.855;2659102.238;0.0;17255801.0;943081.0;2819684.0;1590717.0;0;36383414.879;9562011.812;0.0;;;;26765286.0;56117.067;-6604813.7;4484006.324;1532422.3
2011-08-01;1518655;7796567.566;-5202192.0;65397490.0;83378256.6;64219.97;23937.109;;3907499.143;143612.853;5440300.0;2301.4;238108.0;23928523.109;1417117.0;0.0;16994880.0;1259520.0;3249371.0;983698.0;0;31725090.675;8499631.106;0.0;;;;23169211.0;56248.569;-3681235.6;4115331.966;1520956.4
2011-09-01;1528834;6300122.471;-2541948.0;67939438.0;83378256.6;28967.482;29678.397;;4972012.226;288808.593;3181113.0;2779.83;639165.0;27316029.397;1568308.0;0.0;20543416.0;1162852.0;3537253.0;474522.0;0;33616151.868;7203403.125;0.0;;;;26410471.0;2277.743;-1010334.17;5289788.301;1531613.83
2011-10-01;1522259;6515301.674;263076.0;67676362.0;83383851.6;-198704.036;54148.773;;8140673.125;362054.144;3363245.0;3386.56;3626321.0;36267507.036;4262473.263;0.0;27126312.0;1477206.0;3346663.0;704.0;0;42782808.71;6717814.709;0.0;;;;36064994.0;0.001;1788721.56;8304023.234;1525645.56
2011-11-01;1497402;4933858.578;4874471.0;62801891.0;83383851.6;-93929.614;73557.277;;11058235.841;344765.051;1943905.0;3339.7;6818376.0;39705362.277;4596800.0;0.0;28854779.0;1784626.0;4395600.0;0.0;0;44639220.855;4190759.837;0.0;;;;40394812.0;53649.018;6375212.7;11309071.278;1500741.7
2011-12-01;1584994;3030720.345;6968493.0;55833398.0;83383851.6;15455.103;73557.277;;11352348.636;218492.266;517351.0;2088.66;7485844.0;35087419.259;4684098.982;0.0;23697134.0;1869899.0;4700953.0;61777.0;0;38118139.604;2584694.546;0.0;;;;35477461.0;55984.058;8555575.66;11586296.005;1587082.66
2012-01-01;2335724;3444088.929;6704496.0;48278062.0;83383851.6;82954.11;97148.542;;12141507.349;263248.24;385979.0;3400.77;7090475.0;36244172.41;4448310.868;0.0;25093194.0;1891113.0;4714406.0;0.0;0;39688261.339;4462453.41;0.0;;;;35225348.0;459.929;9043620.77;12487709.699;2339124.77
2012-02-01;2153326;-1375313.3;13681089.0;33823702.0;83383851.6;28861.455;106136.506;;13878279.776;555124.129;452346.0;3163.66;14133435.0;42433430.842;8392281.336;0.0;27531506.0;2160493.0;4243014.0;0.0;0;41058117.542;4679302.345;0.0;;;;36378201.0;614.197;15837578.66;14462265.36;2156489.66
2012-03-01;1382809;8241681.392;-548613.0;34372315.0;83383851.6;33857.868;59638.268;;8726786.635;319108.719;3142442.0;3875.83;2593829.0;27812284.786;3404446.518;0.0;18138194.0;1661738.0;4548268.0;0.0;0;36053966.178;7928100.178;0.0;;;;28125866.0;0.0;838071.83;9079753.222;1386684.83
2012-04-01;1509072;9014781.248;-3481555.0;37853870.0;83383851.6;1936.134;48832.305;;6830374.285;213552.72;4337620.0;3564.89;856065.0;27518200.944;2778415.639;0.0;19261743.0;1366604.0;4026485.0;36121.0;0;36532982.192;8463016.192;0.0;;;;28069966.0;0.0;-1968918.11;7045863.138;1512636.89
2012-05-01;1522898;9665875.327;-6433108.0;44286978.0;83383851.6;-7191.07;33892.936;;4438396.411;328106.716;6774168.0;3646.73;341060.0;23389369.936;2077158.0;0.0;15720287.0;1477044.0;3904707.0;176281.0;0;33055245.263;8717550.263;0.0;;;;24337695.0;0.0;-4906563.27;4759312.057;1526544.73
2012-06-01;1262909;8704098.825;-5707876.0;49994854.0;83383851.6;-4078.229;35617.816;;4082754.456;184460.788;6264871.0;4005.19;556995.0;24258529.816;2413956.0;0.0;16391038.0;1369003.0;3791051.0;257864.0;0;32962628.641;9515886.012;7976.629;;;;23438766.0;0.0;-4440961.81;4263137.015;1266914.19
2012-07-01;1540871;10199007.411;-7775189.0;57770043.0;83383851.6;-96127.405;23024.936;;3809195.254;254855.083;8092019.0;3233.52;316830.0;27312254.936;2217746.0;0.0;19801441.0;1372072.0;3882923.0;15048.0;0;37511262.347;9243749.456;0.0;;;;28245358.0;22154.891;-6231084.48;3967922.931;1544104.52
2012-08-01;1637598;9186590.276;-6712368.0;64482411.0;83383851.6;-4670.169;19397.177;;3833794.53;285560.385;7120499.0;2864.47;408131.0;25844637.735;1225873.558;0.0;19205151.0;1418972.0;3802606.0;172638.0;0;35031228.011;6728549.72;0.0;;;;28280276.0;22402.291;-5071905.53;4114684.746;1640462.47
2012-09-01;1582283;11827912.292;-8623988.0;73106399.0;83383851.6;26159.31;36518.819;;4467772.531;295335.262;9118495.0;3059.81;494507.0;27739471.819;2647938.0;0.0;20144495.0;1457310.0;3423235.0;29975.0;0;39567384.111;8495152.3;0.0;;;;31050531.0;21700.811;-7038645.19;4789267.102;1585342.81
