TIME_PERIOD;STRUCTURE;STRUCTURE_ID;STRUCTURE_NAME;freq;Zeitliche Frequenz;nrg_bal;Energiebilanz;siec;Standardisierte internationale Klassifikation der Energieprodukte (SIEC);unit;Maßeinheit;geo;Geopolitische Meldeeinheit;Zeit;OBS_VALUE;Beobachtungswert;OBS_FLAG;Beobachtungswert V2 structure;CONF_STATUS;Confidentiality status (flag)
2008-01-01;dataflow;ESTAT:NRG_CB_OILM(1.0);Versorgung und Umwandlung von Öl und Mineralölerzeugnisse - monatliche Daten;M;Monatlich;GID_OBS;Bruttoinlandslieferungen - erfasst;O4100_TOT;Rohöl;THS_T;Tausend Tonnen;AT;Österreich;;0.0;;;;;
2008-02-01;dataflow;ESTAT:NRG_CB_OILM(1.0);Versorgung und Umwandlung von Öl und Mineralölerzeugnisse - monatliche Daten;M;Monatlich;GID_OBS;Bruttoinlandslieferungen - erfasst;O4100_TOT;Rohöl;THS_T;Tausend Tonnen;AT;Österreich;;0.0;;;;;
2008-03-01;dataflow;ESTAT:NRG_CB_OILM(1.0);Versorgung und Umwandlung von Öl und Mineralölerzeugnisse - monatliche Daten;M;Monatlich;GID_OBS;Bruttoinlandslieferungen - erfasst;O4100_TOT;Rohöl;THS_T;Tausend Tonnen;AT;Österreich;;0.0;;;;;
2008-04-01;dataflow;ESTAT:NRG_CB_OILM(1.0);Versorgung und Umwandlung von Öl und Mineralölerzeugnisse - monatliche Daten;M;Monatlich;GID_OBS;Bruttoinlandslieferungen - erfasst;O4100_TOT;Rohöl;THS_T;Tausend Tonnen;AT;Österreich;;0.0;;;;;
2008-05-01;dataflow;ESTAT:NRG_CB_OILM(1.0);Versorgung und Umwandlung von Öl und Mineralölerzeugnisse - monatliche Daten;M;Monatlich;GID_OBS;Bruttoinlandslieferungen - erfasst;O4100_TOT;Rohöl;THS_T;Tausend Tonnen;AT;Österreich;;0.0;;;;;
2008-06-01;dataflow;ESTAT:NRG_CB_OILM(1.0);Versorgung und Umwandlung von Öl und Mineralölerzeugnisse - monatliche Daten;M;Monatlich;GID_OBS;Bruttoinlandslieferungen - erfasst;O4100_TOT;Rohöl;THS_T;Tausend Tonnen;AT;Österreich;;0.0;;;;;
2008-07-01;dataflow;ESTAT:NRG_CB_OILM(1.0);Versorgung und Umwandlung von Öl und Mineralölerzeugnisse - monatliche Daten;M;Monatlich;GID_OBS;Bruttoinlandslieferungen - erfasst;O4100_TOT;Rohöl;THS_T;Tausend Tonnen;AT;Österreich;;0.0;;;;;
2008-08-01;dataflow;ESTAT:NRG_CB_OILM(1.0);Versorgung und Umwandlung von Öl und Mineralölerzeugnisse - monatliche Daten;M;Monatlich;GID_OBS;Bruttoinlandslieferungen - erfasst;O4100_TOT;Rohöl;THS_T;Tausend Tonnen;AT;Österreich;;0.0;;;;;
2008-09-01;dataflow;ESTAT:NRG_CB_OILM(1.0);Versorgung und Umwandlung von Öl und Mineralölerzeugnisse - monatliche Daten;M;Monatlich;GID_OBS;Bruttoinlandslieferungen - erfasst;O4100_TOT;Rohöl;THS_T;Tausend Tonnen;AT;Österreich;;0.0;;;;;
2008-10-01;dataflow;ESTAT:NRG_CB_OILM(1.0);Versorgung und Umwandlung von Öl und Mineralölerzeugnisse - monatliche Daten;M;Monatlich;GID_OBS;Bruttoinlandslieferungen - erfasst;O4100_TOT;Rohöl;THS_T;Tausend Tonnen;AT;Österreich;;0.0;;;;;
2008-11-01;dataflow;ESTAT:NRG_CB_OILM(1.0);Versorgung und Umwandlung von Öl und Mineralölerzeugnisse - monatliche Daten;M;Monatlich;GID_OBS;Bruttoinlandslieferungen - erfasst;O4100_TOT;Rohöl;THS_T;Tausend Tonnen;AT;Österreich;;0.0;;;;;
2008-12-01;dataflow;ESTAT:NRG_CB_OILM(1.0);Versorgung und Umwandlung von Öl und Mineralölerzeugnisse - monatliche Daten;M;Monatlich;GID_OBS;Bruttoinlandslieferungen - erfasst;O4100_TOT;Rohöl;THS_T;Tausend Tonnen;AT;Österreich;;0.0;;;;;
2009-01-01;dataflow;ESTAT:NRG_CB_OILM(1.0);Versorgung und Umwandlung von Öl und Mineralölerzeugnisse - monatliche Daten;M;Monatlich;GID_OBS;Bruttoinlandslieferungen - erfasst;O4100_TOT;Rohöl;THS_T;Tausend Tonnen;AT;Österreich;;0.0;;;;;
2009-02-01;dataflow;ESTAT:NRG_CB_OILM(1.0);Versorgung und Umwandlung von Öl und Mineralölerzeugnisse - monatliche Daten;M;Monatlich;GID_OBS;Bruttoinlandslieferungen - erfasst;O4100_TOT;Rohöl;THS_T;Tausend Tonnen;AT;Österreich;;0.0;;;;;
2009-03-01;dataflow;ESTAT:NRG_CB_OILM(1.0);Versorgung und Umwandlung von Öl und Mineralölerzeugnisse - monatliche Daten;M;Monatlich;GID_OBS;Bruttoinlandslieferungen - erfasst;O4100_TOT;Rohöl;THS_T;Tausend Tonnen;AT;Österreich;;0.0;;;;;
2009-04-01;dataflow;ESTAT:NRG_CB_OILM(1.0);Versorgung und Umwandlung von Öl und Mineralölerzeugnisse - monatliche Daten;M;Monatlich;GID_OBS;Bruttoinlandslieferungen - erfasst;O4100_TOT;Rohöl;THS_T;Tausend Tonnen;AT;Österreich;;0.0;;;;;
2009-05-01;dataflow;ESTAT:NRG_CB_OILM(1.0);Versorgung und Umwandlung von Öl und Mineralölerzeugnisse - monatliche Daten;M;Monatlich;GID_OBS;Bruttoinlandslieferungen - erfasst;O4100_TOT;Rohöl;THS_T;Tausend Tonnen;AT;Österreich;;0.0;;;;;
2009-06-01;dataflow;ESTAT:NRG_CB_OILM(1.0);Versorgung und Umwandlung von Öl und Mineralölerzeugnisse - monatliche Daten;M;Monatlich;GID_OBS;Bruttoinlandslieferungen - erfasst;O4100_TOT;Rohöl;THS_T;Tausend Tonnen;AT;Österreich;;0.0;;;;;
2009-07-01;dataflow;ESTAT:NRG_CB_OILM(1.0);Versorgung und Umwandlung von Öl und Mineralölerzeugnisse - monatliche Daten;M;Monatlich;GID_OBS;Bruttoinlandslieferungen - erfasst;O4100_TOT;Rohöl;THS_T;Tausend Tonnen;AT;Österreich;;0.0;;;;;
